Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, GDD
2017-06-06, 74, 66, 70.0, 66, 0.64, 20
2017-06-07, 67, 56, 61.5, M, 0.00, 12
2017-06-08, 66, 53, 59.5, 66, T, 10
2017-06-09, 71, 55, 63.0, 70, 0.00, 13
2017-06-10, 84, 55, 69.5, 77, 0.00, 20
2017-06-11, 89, 67, 78.0, 85, 0.00, 28
2017-06-12, 95, 71, 83.0, 86, 0.00, 33
2017-06-13, 96, 76, 86.0, 89, 0.00, 36
2017-06-14, 98, 77, 87.5, 77, 0.02, 38
2017-06-15, 84, 71, 77.5, 72, 0.00, 28
2017-06-16, 85, 65, 75.0, 70, 0.00, 25
2017-06-17, 81, 65, 73.0, 72, 0.02, 23
2017-06-18, 81, 68, 74.5, 80, 0.00, 25
2017-06-19, 90, 75, 82.5, 83, 0.13, 33
2017-06-20, 91, 71, 81.0, 78, 0.70, 31
2017-06-21, 88, 72, 80.0, 80, 0.00, 30
2017-06-22, 90, 69, 79.5, 79, 0.19, 30
2017-06-23, 90, 69, 79.5, 77, 0.01, 30
2017-06-24, 90, 75, 82.5, 77, 1.20, 33
2017-06-25, 88, 70, 79.0, 80, 0.00, 29
2017-06-26, 87, 71, 79.0, 75, 0.00, 29
2017-06-27, 84, 66, 75.0, 68, 0.00, 25
2017-06-28, 81, 62, 71.5, 72, 0.00, 22
2017-06-29, 82, 61, 71.5, 76, 0.23, 22
2017-06-30, 89, 68, 78.5, 80, 0.00, 29
2017-07-01, 94, 74, 84.0, 80, 0.00, 34
2017-07-02, 89, 73, 81.0, 81, 0.67, 31
2017-07-03, 92, 73, 82.5, 84, 0.00, 33
2017-07-04, 93, 76, 84.5, 78, 0.00, 35
2017-07-05, 92, 72, 82.0, 74, 0.47, 32
2017-07-06, 84, 72, 78.0, 72, T, 28
2017-07-07, 74, 70, 72.0, 73, 0.27, 22
2017-07-08, 87, 69, 78.0, 78, 0.44, 28
2017-07-09, 88, 71, 79.5, 77, 0.00, 30
2017-07-10, 86, 68, 77.0, 80, 0.00, 27
2017-07-11, 89, 70, 79.5, 80, 0.00, 30
2017-07-12, 92, 76, 84.0, 86, 0.00, 34
2017-07-13, 92, 79, 85.5, 89, 0.00, 36
2017-07-14, 95, 76, 85.5, 76, 0.19, 36
2017-07-15, 79, 72, 75.5, 77, 0.23, 26
2017-07-16, 88, 73, 80.5, 80, 0.00, 31
2017-07-17, 89, 69, 79.0, M, 0.00, 29
2017-07-18, 92, 74, 83.0, 79, T, 33
2017-07-19, 94, 74, 84.0, 84, 0.00, 34
2017-07-20, 96, 77, 86.5, 88, 0.00, 37
2017-07-21, 96, 80, 88.0, 84, 0.00, 38
2017-07-22, 95, 78, 86.5, 86, 0.00, 37
2017-07-23, 96, 75, 85.5, 76, 0.77, 36
2017-07-24, 86, 72, 79.0, 76, 1.22, 29
2017-07-25, 90, 69, 79.5, 69, 0.64, 30
2017-07-26, 78, 66, 72.0, 70, T, 22
2017-07-27, 79, 67, 73.0, 73, 0.00, 23
2017-07-28, 83, 68, 75.5, 74, T, 26
2017-07-29, 86, 67, 76.5, 72, 0.41, 27
2017-07-30, 77, 66, 71.5, 73, T, 22
2017-07-31, 85, 62, 73.5, 77, 0.00, 24
2017-08-01, 90, 67, 78.5, 84, 0.00, 29
2017-08-02, 93, 72, 82.5, 83, 0.00, 33
2017-08-03, 91, 70, 80.5, 78, 0.45, 31
2017-08-04, 90, 69, 79.5, 81, 0.00, 30
2017-08-05, 93, 72, 82.5, 72, 0.92, 33
2017-08-06, 79, 68, 73.5, 77, 0.00, 24
2017-08-07, 80, 64, 72.0, 68, 0.52, 22
2017-08-08, 73, 67, 70.0, M, 0.53, 20
2017-08-09, 81, 67, 74.0, M, 0.00, 24
2017-08-10, 87, 65, 76.0, 78, 0.00, 26
2017-08-11, 86, 78, 82.0, 78, 0.00, 32
2017-08-12, 86, 72, 79.0, 72, 0.13, 29
2017-08-13, 85, 70, 77.5, 75, M, 28
2017-08-14, 86, 69, 77.5, 76, T, 28
2017-08-15, 85, 68, 76.5, M, S, 27
2017-08-16, 78, 71, 74.5, 78, 0.33A, 25
2017-08-17, 90, 70, 80.0, 78, 0.00, 30
2017-08-18, 91, 71, 81.0, 78, 0.00, 31
2017-08-19, 90, 75, 82.5, 80, 0.72, 33
2017-08-20, 90, 75, 82.5, 75, T, 33
2017-08-21, 86, 68, 77.0, 81, 0.00, 27
2017-08-22, 89, 71, 80.0, 78, T, 30
2017-08-23, 93, 73, 83.0, 76, 0.80, 33
2017-08-24, 84, 71, 77.5, 71, 0.00, 28
2017-08-25, 84, 65, 74.5, 70, 0.00, 25
2017-08-26, 80, 65, 72.5, 71, 0.00, 23
2017-08-27, 81, 66, 73.5, 70, 0.00, 24
2017-08-28, 78, 61, 69.5, 70, T, 20
2017-08-29, 75, 62, 68.5, 66, 0.08, 19
2017-08-30, 67, 62, 64.5, 66, 0.73, 15
2017-08-31, 79, 60, 69.5, 76, 0.00, 20
2017-09-01, 87, 66, 76.5, 66, 0.00, 27
2017-09-02, 71, 57, 64.0, 60, 0.00, 14
2017-09-03, 66, 57, 61.5, 66, 0.50, 12
2017-09-04, 75, 60, 67.5, 71, T, 18
2017-09-05, 83, 62, 72.5, 76, 0.00, 23
2017-09-06, 89, 70, 79.5, 70, 0.40, 30
2017-09-07, 71, 61, 66.0, M, S, 16
2017-09-08, 74, 58, 66.0, 66, 0.34A, 16
2017-09-09, 74, 58, 66.0, 61, 0.00, 16
2017-09-10, 72, 54, 63.0, 64, 0.00, 13
2017-09-11, 75, 54, 64.5, M, M, 15
2017-09-12, 80, 56, 68.0, 72, 0.00, 18
2017-09-13, 83, 60, 71.5, 72, 0.00, 22
2017-09-14, 77, 65, 71.0, 73, 0.11, 21
2017-09-15, 84, 70, 77.0, 73, 0.00, 27
2017-09-16, 87, 66, 76.5, 78, 0.00, 27
2017-09-17, 89, 68, 78.5, 70, 0.16, 29
2017-09-18, 80, 69, 74.5, 71, 0.00, 25
2017-09-19, 80, 68, 74.0, 72, 0.00, 24
2017-09-20, 79, 70, 74.5, 72, 0.12, 25
2017-09-21, 87, 70, 78.5, 77, 0.00, 29
2017-09-22, 88, 70, 79.0, 71, 0.09, 29
2017-09-23, 84, 69, 76.5, 75, 0.00, 27
2017-09-24, 90, 68, 79.0, 83, 0.00, 29
